address,core_days_cnt,type
0xd8c9d9071123a059c6e0a945cf0e0c82b508d816,342,0
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,332,0
0x4f9fbb3f1e99b56e0fe2892e623ed36a76fc605d,312,0
0xb13201b48b1e61593df055576964d0b3aab66ea3,136,0
0x28b67e0a4e570720c111c090c45daa065a54e58d,50,0
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,43,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,21,0
0xd37a77e71ddf3373a79be2ebb76b6c4808bdf0d5,20,0
0xd152f549545093347a162dce210e7293f1452150,16,0
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,12,1
0xe93381fb4c4f14bda253907b18fad305d799241a,8,1
0x9b8519a9a00100720ccdc8a120fbed319ca47a14,6,0
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,6,0
0x3d36e8df307afc3ebc90e9ef200c790ee9a93161,5,0
0x0639076265e9f88542c91dcdeda65127974a5ca5,4,0
0x65b2532474f717d5a8ba38078b78106d56118bbb,3,0
0x55d59b791f06dc519b176791c4e037e8cf2f6361,3,0
0x1111111254fb6c44bac0bed2854e76f90643097d,3,0
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,2,1
0x2ad932eccff9ebcd4a0d0fc9d5586a1870cf5876,2,0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,2,0
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2,0
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,2,0
0xc8f797e893d9f08db03759213b8d09f0ca6ac9c2,2,0
0x8ec4c06960c6bdbb4964d1830ac1355ee78401bd,1,0
0x521d155cee171dad885eae47a97a8c489c3c70c9,1,1
0xf6890e3114ebc79f56f49d0072b3aa0af85af949,1,1
0xb8a9fada75c6d891fb77a7988ff9bad9e485ca1c,1,0
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,1,0
0x73b8d046495a7152857824e57c94a9137f1db54d,1,1
0xc36442b4a4522e871399cd717abdd847ab11fe88,1,0
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,1,1
0xcf16b17a215d1728b0a36a30a57beaaf7845f334,1,0
0xd8654f2c37cbd306416abddab4f53f02c1773994,1,1
