address,core_days_cnt,type
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,426,0
0xd8c9d9071123a059c6e0a945cf0e0c82b508d816,422,0
0x4f9fbb3f1e99b56e0fe2892e623ed36a76fc605d,373,0
0xb13201b48b1e61593df055576964d0b3aab66ea3,142,0
0x28b67e0a4e570720c111c090c45daa065a54e58d,59,0
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,59,1
0x74de5d4fcbf63e00296fd95d33236b9794016631,24,0
0xd37a77e71ddf3373a79be2ebb76b6c4808bdf0d5,22,0
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,19,1
0xd152f549545093347a162dce210e7293f1452150,17,0
0xe93381fb4c4f14bda253907b18fad305d799241a,16,1
0x3d36e8df307afc3ebc90e9ef200c790ee9a93161,16,0
0x0639076265e9f88542c91dcdeda65127974a5ca5,8,0
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,7,0
0x9b8519a9a00100720ccdc8a120fbed319ca47a14,6,0
0x1111111254fb6c44bac0bed2854e76f90643097d,6,0
0xc2563cf31c89d043ffab8e7f77fbfbb58fc2a487,5,0
0x65b2532474f717d5a8ba38078b78106d56118bbb,4,0
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,4,0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,3,0
0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea,3,1
0x55d59b791f06dc519b176791c4e037e8cf2f6361,3,0
0x2ad932eccff9ebcd4a0d0fc9d5586a1870cf5876,2,0
0x5f62593c70069abb35dfe2b63db969e8906609d6,2,0
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,2,1
0x00ff66ab8699aafa050ee5ef5041d1503aa0849a,2,0
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,2,0
0x8ec4c06960c6bdbb4964d1830ac1355ee78401bd,2,0
0xbf5ae133b9a0fc1a07952a7df2afa21f7f69ef58,2,1
0xc8f797e893d9f08db03759213b8d09f0ca6ac9c2,2,0
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2,0
0xb23dc3f00856288cd7b6bde5d06159f01b75aa4c,1,0
0xae076a41b227e7ba07ca7c5791df168de7e16646,1,1
0xaa10bad711ae67325af5469ec5bbc788f769bcae,1,1
0xa685f93ce36eeb7fedab7feb618f87282228512b,1,1
0xa2e83e57502a89a3af7ceacc195b320f9ad7d64d,1,1
0x8fe0e1205811d5a7e80ee9dc65ae75cafd71ac8d,1,1
0x8aff5ca996f77487a4f04f1ce905bf3d27455580,1,0
0x7f7778a5a1d40423cf4d2ae276c7044f7d43848f,1,1
0x89b537d4e0de035303dc1bdae18394f7a6c15c36,1,1
0x67f7580087524e3712dfd022e734f20824f2c945,1,1
0xb2bc4e23225433a2bc3b671445ead111044c6054,1,0
0x770638e0cd8781dd4b64e3a4cad06113b6eefcca,1,0
0x839d4641f97153b0ff26ab837860c479e2bd0242,1,1
0x81153f0889ab398c4acb42cb58b565a5392bba95,1,0
0xe9582b6b8e328546dc7bb375a7597fce75e2ce10,1,1
0x5cf3d2c080316adc9badc4856def77f4891d5c70,1,1
0x3cc8760e71f31cccf7dbc687628bf1744114aeba,1,1
0xf0025d7f196d8d5d5a944c311896bf94dd3efafb,1,1
0x8f91ea5a2af4546cf4f382cdf4b04b2d60f16264,1,1
0x6940835a28c56526f7746de7913087b346b1714c,1,1
0x3e9381eb1dbbbcd4645e820593e2e313052f7c5e,1,0
0x45a0c3c8a4d4f0e8c978e9fe3d6c0a361049891a,1,1
0xdae946bc673428edc21e556d8bdbefb8f0395d28,1,1
0xfd7e12562435bc4b842b19133be76f3fb231dc5e,1,1
0x88d2a422ff2413af9385fa5ebe43ea7a5f68ee94,1,1
0x22dc297cdd314f4c47422f4ab7b6218316af291d,1,1
0x04e313306c008f704ad6e34a08d6523db3a271f9,1,1
0x016989c0dbd55b10097cff7949a9a4df266f9609,1,1
0xadd90f648aeefb2b23896a6f3fece1cbdbca740e,1,1
0xa3246810c9c367263969bb7ca305a0a36c69582f,1,1
0x0ab97008cad303a8c90ea630c282760284c19e93,1,1
0xd3956151a2eaa70697a8a61cd1888745e188fa4d,1,0
0x91bbfacc21008e9d29f2f25263126da741b6cca8,1,1
0x33d0184a86ec24fbdebe188d9270d95b53fe7fff,1,0
0x194a3c3dea1c9e90f164109fecc649767dc99870,1,1
0xc0a5015ee48fd320ca2fda59dfaaa5d35824e7e9,1,1
0xd21b8db59b7156c857521e72c18668982becbbfe,1,1
0xcf58eac3c7d16796aea617a7e2461c99cacdff1d,1,1
0x674c706a26feb07f692773c353e072ef4a07670e,1,1
0x2e1540a068a904d6e4f0e3501966ce62ec91bf1c,1,1
0x57f99c9f17088fa8e0125991650dbb8505ea4c88,1,1
0xece24f3e222ec85738ecee770bdff74b8f6d7245,1,1
0x0cd83953b2098dc82d307b041e01ac796a3c80d6,1,1
0x096a857859f8898e2b23414b6d53d267f683d75a,1,1
0x0949328e8cd2e7a5b737d1c0e0d2578182db9f94,1,1
0x4026b3da349c2952255ca9db4f055ea57f4e037c,1,1
0x02b21bd4a9ff70eae3f1d94f98eeae2bd00e8806,1,1
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,1,1
0x000000000035b5e5ad9019092c665357240f594e,1,0
0x481bb04f60dd1f7d6ec0a3611ed8023e618697cb,1,1
0xd8654f2c37cbd306416abddab4f53f02c1773994,1,1
0xf6890e3114ebc79f56f49d0072b3aa0af85af949,1,1
0xb8a9fada75c6d891fb77a7988ff9bad9e485ca1c,1,0
0x521d155cee171dad885eae47a97a8c489c3c70c9,1,1
0x73b8d046495a7152857824e57c94a9137f1db54d,1,1
0x131e1d3507a1bc81bf203e3161c2ec9fea0ba28b,1,1
0x0211f3cedbef3143223d3acf0e589747933e8527,1,1
0xc36442b4a4522e871399cd717abdd847ab11fe88,1,0
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,1,1
0xcf16b17a215d1728b0a36a30a57beaaf7845f334,1,0
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,1,0
0x0d10f12e688b670dbf5026a03da3c57047bc1d28,1,1
0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,1,0
0x42f34fefa3cf59a349a314c6fab6e6ba5da548b3,1,1
0x36e54b5cd1b7ee9eee83fac537ec389759dcb61a,1,1
0x7eff7eee42dc0bd27081a78fe23cfe2a72697f2b,1,1
0x4c07a18cfd2187324e4a16dc811333920a826594,1,1
0x45716d9eddbc332df1d42b9f540fbebed671b20f,1,0
0x4f0efe3aec929dce4769e41ab9a4df24d84c4ece,1,0
0x437932d89c8202d6e3bd380c71de85b4d9c1b410,1,1
0x3fae9781121197553b7ffe463e4748164531fbf2,1,1
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,1,0
0x3b220e8b4c4947d1dc58a8a2efe5f5bfc2f56e96,1,0
0x30e5d10dc30a0ce2545a4dbe8de4fcba590062c5,1,1
0x0d4d42969105e5a144a2538aeb24a2e16be40e34,1,1
0x859ba7c835e394f3657fcd3e9c9028bcab463eb4,1,1
0xe66b31678d6c16e9ebf358268a790b763c133750,1,0
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,1,1
0x28954427949b94aacb6d9d3a38d69b4240aee46b,1,1
0xa29744b745800ccd814e6f59271ecd74682eccb0,1,1
0x77cea7e3b23ad8adff53494d39f2be540fc81895,1,1
0x1ffeb270de26348f0c6e9f442bcd89ccaf1449cb,1,1
0x3cc936b795a188f0e246cbb2d74c5bd190aecf18,1,1
0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,1,0
