address,core_days_cnt,type
0xd8c9d9071123a059c6e0a945cf0e0c82b508d816,462,0
0x4f9fbb3f1e99b56e0fe2892e623ed36a76fc605d,461,0
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,434,0
0xb13201b48b1e61593df055576964d0b3aab66ea3,336,0
0x74de5d4fcbf63e00296fd95d33236b9794016631,271,0
0x3d36e8df307afc3ebc90e9ef200c790ee9a93161,147,0
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,144,1
0x28b67e0a4e570720c111c090c45daa065a54e58d,139,0
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,107,1
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,77,0
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,72,0
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,65,0
0x9b8519a9a00100720ccdc8a120fbed319ca47a14,49,0
0xd37a77e71ddf3373a79be2ebb76b6c4808bdf0d5,46,0
0xe93381fb4c4f14bda253907b18fad305d799241a,42,1
0x9008d19f58aabd9ed0d60971565aa8510560ab41,39,0
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,39,0
0x1111111254fb6c44bac0bed2854e76f90643097d,26,0
0xd152f549545093347a162dce210e7293f1452150,25,0
0xc8f797e893d9f08db03759213b8d09f0ca6ac9c2,23,0
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,23,0
0x19f81cc98254536304056a13b539a40bfb7aaa60,21,0
0x65b2532474f717d5a8ba38078b78106d56118bbb,18,0
0xc176761d388caf2f56cf03329d82e1e7c48ae09c,17,0
0x55d59b791f06dc519b176791c4e037e8cf2f6361,17,0
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,16,0
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,15,1
0x0639076265e9f88542c91dcdeda65127974a5ca5,13,0
0xcf16b17a215d1728b0a36a30a57beaaf7845f334,12,0
0xba12222222228d8ba445958a75a0704d566bf2c8,11,0
0x3e9381eb1dbbbcd4645e820593e2e313052f7c5e,9,0
0x00ff66ab8699aafa050ee5ef5041d1503aa0849a,9,0
0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea,7,1
0x2ad932eccff9ebcd4a0d0fc9d5586a1870cf5876,7,0
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,6,0
0x1bd435f3c054b6e901b7b108a0ab7617c808677b,6,0
0xc2563cf31c89d043ffab8e7f77fbfbb58fc2a487,5,0
0xd930ab15c8078ebae4ac8da1098a81583603f7ce,4,0
0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,4,0
0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,4,0
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,4,0
0xd251dff33e31bb98d5587e5b1004ff01a5a41289,4,0
0x8565e8191f513203cbc7284ce6f7cbba20b86e87,3,0
0xb8a9fada75c6d891fb77a7988ff9bad9e485ca1c,3,0
0x0211f3cedbef3143223d3acf0e589747933e8527,2,1
0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,2,1
0x28a21d4f9c6c2c63d838ddb5dc9776413b0c2376,2,0
0xe66b31678d6c16e9ebf358268a790b763c133750,2,0
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1,0
0x5f65f7b609678448494de4c87521cdf6cef1e932,1,0
0x43cc25b1fb6435d8d893fcf308de5c300a568be2,1,1
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,1,1
0x711cd20bf6b436ced327a8c65a14491aa04c2ca1,1,1
0xc77fa6c05b4e472feee7c0f9b20e70c5bf33a99b,1,1
0xa92a17169302ee9902c5ad7583c234a48c1d3e05,1,1
0xf05dee6573878712b35136078385977726148a60,1,1
0xa91c2ceb9d2e343bfd5a12d5b3b3794346a8c473,1,1
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,1,1
0xc8e68d674df0eab152926c4f0ee7d0ac0745c715,1,1
0x481bb04f60dd1f7d6ec0a3611ed8023e618697cb,1,1
0xa7bc7cd9fdd75aa984072d217da1373d9e9dd85b,1,1
0x2057cfb9fd11837d61b294d514c5bd03e5e7189a,1,0
0x56cb75b092b1866ffe4531151da6e233ae5811e2,1,1
0x3328f5f2cecaf00a2443082b657cedeaf70bfaef,1,0
0x3f9a45bb39e80fe9fb4c947e1cc291b012a09f64,1,1
0x1384b4515544e520956e4fa7f5a10c7fb0ac3729,1,1
0xb7cc2f52f378271cd07a918a13f95b039a366e29,1,1
0x853c2d147a1bd7eda8fe0f58fb3c5294db07220e,1,0
0xf96da4775776ea43c42795b116c7a6eccd6e71b5,1,1
0xf3e36ad56aa85abdacc18c02d19509ae4f7d5899,1,1
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,1,1
0x7e7e6066c05cda7d31eef9438e026d8e987e7ebb,1,1
0x6d6f6eeee0977ade5b826eaad91b7af424e6ec98,1,1
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,1,1
0xb85828477d09842e75de3e686689110525ead27a,1,1
0xc36442b4a4522e871399cd717abdd847ab11fe88,1,0
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,1,1
