address,core_days_cnt,type
0x4f9fbb3f1e99b56e0fe2892e623ed36a76fc605d,455,0
0xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,437,0
0x66017d22b0f8556afdd19fc67041899eb65a21bb,432,0
0x16980c16811bde2b3358c1ce4341541a4c772ec9,384,0
0x4e0924d3a751be199c426d52fb1f2337fa96f736,261,0
0x74de5d4fcbf63e00296fd95d33236b9794016631,247,0
0xf20ef17b889b437c151eb5ba15a47bfc62bff469,218,0
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,160,0
0xfdf12d1f85b5082877a6e070524f50f6c84faa6b,110,0
0x9663f2ca0454accad3e094448ea6f77443880454,103,0
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,98,0
0x9008d19f58aabd9ed0d60971565aa8510560ab41,92,0
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,82,0
0xfd3dfb524b2da40c8a6d703c62be36b5d8540626,75,0
0x67e887913b13e280538c169f13d169a659a203de,66,0
0xa79828df1850e8a3a3064576f380d90aecdd3359,46,0
0x279ca79d5fb2490721512c8ae4767e249d75f41b,43,0
0x1111111254fb6c44bac0bed2854e76f90643097d,42,0
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,38,0
0x46e4d8a1322b9448905225e52f914094dbd6dddf,34,0
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,34,0
0x10c0f93f64e3c8d0a1b0f4b87d6155fd9e89d08d,27,0
0xc69ddcd4dfef25d8a793241834d4cc4b3668ead6,18,0
0xdb38ae75c5f44276803345f7f02e95a0aeef5944,16,0
0xbcc2adccd4de0b2656179f729c98c39dcd68c84d,15,0
0xc176761d388caf2f56cf03329d82e1e7c48ae09c,15,0
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,13,0
0x55c75414f525ef9ccbb8105ce083edbda0075fb5,11,0
0xeef86c2e49e11345f1a693675df9a38f7d880c8f,9,0
0xd152f549545093347a162dce210e7293f1452150,8,0
0x8c82d963eb282cb7a751e551e3997ba66c2c8237,7,0
0x2746f8ee2390b33e87c39d9f786b6a004f212064,7,0
0x00ff66ab8699aafa050ee5ef5041d1503aa0849a,6,0
0xd652c40fbb3f06d6b58cb9aa9cff063ee63d465d,6,0
0xf1ddc084500fc774bb835f412aea908259b55ce4,5,0
0x22ae99d07584a2ae1af748de573c83f1b9cdb4c0,5,0
0x561b94454b65614ae3db0897b74303f4acf7cc75,5,0
0xd251dff33e31bb98d5587e5b1004ff01a5a41289,4,0
0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,3,0
0x7c22547779c8aa41bae79e03e8383a0befbcecf0,2,0
0xaaadbb0d64f6d25731306f11e9ee94b486d53e43,2,0
0x159109cacaf431005099b73ef8b66069682a66b4,2,0
0x2057cfb9fd11837d61b294d514c5bd03e5e7189a,2,0
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,2,0
0x1bd435f3c054b6e901b7b108a0ab7617c808677b,2,0
0x6d01a1e82854810bba84a9b2a4b13276f9ebe258,1,1
0x9555b042f969e561855e5f28cb1230819149a8d9,1,0
0xa10fca31a2cb432c9ac976779dc947cfdb003ef0,1,0
0xff51712c8f5b7108d1896b94ce5c183659b82ef7,1,1
0x9a16adef30aee2ae2e76572fcf3b548784ebda3b,1,1
0x378cb52b00f9d0921cb46dfc099cff73b42419dc,1,0
0x0768530fd5f49ec153c011e632c4a9cd33fb4eb4,1,1
0x171741790d8a84d729bc6b06c066b2cb25ada477,1,1
0x5abfbe56553a5d794330eaccf556ca1d2a55647c,1,0
0x8b230013b36475357c3100736be82d6c3c766395,1,1
0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,1,0
0xbb4946eea34a98b2c0e497cb7f8f3af83311b2af,1,1
0x9c0d72f2ac26420cb7eeb155bf401b672840e87b,1,1
