address,core_days_cnt,type,note
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,941,0,"Compound: cDAI Token"
0x66c57bf505a85a74609d2c83e94aabb26d691e1f,922,1,"Kraken 12 (Kraken is a cryptocurrency exchange where you can buy and sell assets such as Bitcoin and Ethereum.)"
0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,786,0,"Uniswap V2: DAI"
0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,672,0,"SushiSwap: DAI"
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,663,0,"Curve.fi: DAI/USDC/USDT Pool (Curve Finance is a decentralized exchange for trading cryptocurrency that focuses on efficient stablecoin trading.)"
0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,656,1,"Nexo 2 (Nexo is a platform for instant crypto loans which provides fast access to cash and support for maintaining ownership of digital assets.)"
0xd3e52099a6a48f132cb23b1364b7dee212d862f6,651,1,
0x74de5d4fcbf63e00296fd95d33236b9794016631,629,0,"AirSwap"
0x028171bca77440897b824ca71d1c56cac55b68a3,563,0,"Aave: aDAI Token V2"
0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,555,0,"Gnosis Chain: xDai Bridge"
0x5f65f7b609678448494de4c87521cdf6cef1e932,550,0,"Gemini 4"
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,530,0,""0x: Exchange Proxy Flash Wallet
0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,528,0,"Uniswap V2: DAI-USDC"
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,519,1,"FTX Exchange"
0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,496,0,"dYdX: Solo Margin (dYdX is a decentralized exchange built on the Ethereum network delivering key financial instruments to users such as perpetuals, margin and spot trading, as well as lending and borrowing.)"
0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,488,1
0x46340b20830761efd32832a74d7169b29feb9758,484,1,"Crypto.com 2"
0x503828976d22510aad0201ac7ec88293211d23da,440,1,""Coinbase 2
0x60594a405d53811d3bc4766596efd80fd545a270,427,0,"Uniswap V3: DAI 2"
0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,427,0,"Uniswap: DAI"
0xa5407eae9ba41422680e2e00537571bcc53efbfd,424,0,"Curve.fi: sUSD v2 Swap"
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,421,0,"Aave: Lending Pool Core V1"
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,420,0,"Uniswap V3: DAI"
0x28c6c06298d514db089934071355e5743bf21d60,412,1,""Binance 14
0x11111254369792b2ca5d084ab5eea397ca8fa48b,353,0,"1inch.exchange"
0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,351,0,"Uniswap V3: DAI-USDT"
0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,340,1,"KuCoin 3"
0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,337,0,"Uniswap V2: DAI-USDT"
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,337,1,"Crypto.com"
0x9008d19f58aabd9ed0d60971565aa8510560ab41,322,0,"CoW Protocol: GPv2Settlement"
0xba12222222228d8ba445958a75a0704d566bf2c8,313,0,"Balancer: Vault"
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,313,1,"Binance"
0x912fd21d7a69678227fe6d08c64222db41477ba0,307,1,"Binance"
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,298,0,"Polygon (Matic): ERC20 Bridge"
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,293,1,"Binance 4"
0x322d58b9e75a6918f7e7849aee0ff09369977e08,290,1
0xd551234ae421e3bcba99a0da6d736074f22192ff,290,1,"Binance 2"
0x564286362092d8e7936f0549571a803b203aaced,288,1,"Binance 3"
0x21a31ee1afc51d94c2efccaa2092ad1028285549,280,1,"Binance 15"
0x59a5208b32e627891c389ebafc644145224006e8,275,1,"HitBTC 2"
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,271,1,"Binance 16"
0x34d7d7aaf50ad4944b70b320acb24c95fa2def7c,270,0
0x5777d92f208679db4b9778590fa3cab3ac9e2168,239,0
0x29fe7d60ddf151e5b52e5fab4f1325da6b2bd958,239,0
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,237,0
0xa12431d0b9db640034b0cdfceef9cce161e62be4,233,1
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,227,0
0xe93381fb4c4f14bda253907b18fad305d799241a,223,1
0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,219,0
0x6c6bc977e13df9b0de53b251522280bb72383700,204,0
0x1111111254fb6c44bac0bed2854e76f90643097d,202,0
0xe78388b4ce79068e89bf8aa7f218ef6b9ab0e9d0,200,1
0x3e66b66fd1d0b02fda6c811da9e0547970db2f21,194,0
0xc564ee9f21ed8a2d8e7e76c085740d5e4c5fafbe,185,1
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,183,0
0x794e6e91555438afc3ccf1c5076a74f42133d08d,183,0
0x0c4e16899f2059f4e41ddb164317414a5c0d2988,181,0
0x055475920a8c93cffb64d039a8205f7acc7722d3,179,0
0x48c04ed5691981c42154c6167398f95e8f38a7ff,167,1
0x00000000001876eb1444c986fd502e618c587430,166,0
0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,162,1
0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,155,1
0x4f6742badb049791cd9a37ea913f2bac38d01279,153,1
0xa1ab7a4aa264745912db261536291336f7e543ac,149,1
0xc21d353ff4ee73c572425697f4f5aad2109fe35b,140,0
0x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,137,0
0x708396f17127c42383e3b9014072679b2f60b82f,136,1
0x85b931a32a0725be14285b66f1a22178c672d69b,136,1
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,133,0
0x9bc2f223026c252c8ef5f7f33f00f4bee21434b8,130,1
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,127,1
0xd1917932a7db6af687b523d5db5d7f5c2734763f,123,0
0xe50afd8ff67cf109c47da0587fbf87090ac8c5d8,122,0
0x1bd435f3c054b6e901b7b108a0ab7617c808677b,120,0
0x8888888883585b9a8202db34d8b09d7252bfc61c,119,0
0x8faf958e36c6970497386118030e6297fff8d275,118,0
0xacd43e627e64355f1861cec6d3a6688b31a6f952,115,0
0x76720ac2574631530ec8163e4085d6f98513fb27,115,1
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,114,0
0xa79828df1850e8a3a3064576f380d90aecdd3359,113,0
0xabea9132b05a70803a4e85094fd0e1800777fbef,109,0
0xd152f549545093347a162dce210e7293f1452150,108,0
0x333420fc6a897356e69b62417cd17ff012177d2b,105,0
