address,core_days_cnt
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,320
0xd8c9d9071123a059c6e0a945cf0e0c82b508d816,274
0x4f9fbb3f1e99b56e0fe2892e623ed36a76fc605d,174
0xb13201b48b1e61593df055576964d0b3aab66ea3,130
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,86
0x74de5d4fcbf63e00296fd95d33236b9794016631,84
0x30e5d10dc30a0ce2545a4dbe8de4fcba590062c5,72
0x04e313306c008f704ad6e34a08d6523db3a271f9,71
0x3d36e8df307afc3ebc90e9ef200c790ee9a93161,64
0x0639076265e9f88542c91dcdeda65127974a5ca5,52
0x65b2532474f717d5a8ba38078b78106d56118bbb,51
0x9008d19f58aabd9ed0d60971565aa8510560ab41,48
0x47a7d15b7452820dd7a565ea9c39d8b6cef51ed7,47
0x5292f5dadefee3f34c271a41f2ca438c89593674,47
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,45
0x03cd116cabe0747f31a71b3565877717097fc06c,40
0x28b67e0a4e570720c111c090c45daa065a54e58d,38
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,36
0x707f18262088e7a8b0d10b7f0c14b50d1cd2b019,35
0xae12469bf1ddb16082c010dfabd293010bb8d5f5,34
0xe93381fb4c4f14bda253907b18fad305d799241a,34
0x27239549dd40e1d60f5b80b0c4196923745b1fd2,33
0xc36442b4a4522e871399cd717abdd847ab11fe88,33
0x76720ac2574631530ec8163e4085d6f98513fb27,33
0x0d3abaa7e088c2c82f54b2f47613da438ea8c598,32
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,31
0x1111111254fb6c44bac0bed2854e76f90643097d,31
0x000000000035b5e5ad9019092c665357240f594e,30
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,29
0x656ab461f4acb07a33f7ede3716af1f2d7250673,29
0xbf5ae133b9a0fc1a07952a7df2afa21f7f69ef58,28
0x066419eaef5de53cc5da0d8702b990c5bc7d1ab3,28
0xe66b31678d6c16e9ebf358268a790b763c133750,26
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,26
0xf6890e3114ebc79f56f49d0072b3aa0af85af949,25
0x19f81cc98254536304056a13b539a40bfb7aaa60,24
0x74630370197b4c4795bfeef6645ee14f8cf8997d,23
0x00ff66ab8699aafa050ee5ef5041d1503aa0849a,23
0x00000000003b3cc22af3ae1eac0440bcee416b40,23
0x10bf1dcb5ab7860bab1c3320163c6dddf8dcc0e4,22
0x0f4ee9631f4be0a63756515141281a3e2b293bbe,22
0xf3e36ad56aa85abdacc18c02d19509ae4f7d5899,22
0xe3786bf25e15013fdda09dbe881529d44b9ca239,22
0x85257f61bcf59f7498007d8e08d6efb7ac1eef4c,22
0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,22
0x45a0c3c8a4d4f0e8c978e9fe3d6c0a361049891a,21
0x54bc9113f1f55cdbdf221daf798dc73614f6d972,21
0x839d4641f97153b0ff26ab837860c479e2bd0242,21
0xdd9f24efc84d93deef3c8745c837ab63e80abd27,20
0x024bcbcaad82e67f721799e259ca60bc7d363419,20
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,20
0x55d59b791f06dc519b176791c4e037e8cf2f6361,18
0xbe1b0a57572c4eecbddecceff4906c676e14a06f,18
0x2b92bfb9355051c0d565a93dfa42285b3fc3b5e0,18
0xa5493656b559ac046a302e8efa7c64d5ad4c9302,18
0x834893645f06f7ce32729ea27bb7233157ac1f47,18
0x58418d6c83efab01ed78b0ac42e55af01ee77dba,18
0x18c44da58f661420814e8ee1c684dfbb8be81ad4,18
0xd029fea689274e3b45e7332ff9543bea58f9b296,17
0x3417adc19481fef4fcf29147e681c7127a57cd42,17
0x1871d1e561cfcff043cae735f80118ee06be066d,17
0x000000005736775feb0c8568e7dee77222a26880,16
